id {uuid},name  {properties.title},type {properties.type},diocese {properties.diocese},url {links[0].identifier},{links[0].type},{properties.when},founded by {properties.founder},{latitude},{longitude},"{types=[{""identifier"":""http://vocab.getty.edu/aat/300443474"",""label"":""monasteries (institutions)"",""sourceLabels"":[""Monastery""]}]}","{$.@id=""https://w3id.org/locolligo/early-monasteries""}","{$.indexing=""indexing_early-monasteries.json""}"
211,Llangyfelach Clas,,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Wales,seeAlso,>=600,,51.67209,-3.95826,,,
212,Glascwm Clas,,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Wales,seeAlso,>=600,,52.166667,-3.233333,,,
213,Glasbury Clas,,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Wales,seeAlso,>=700,,52.045,-3.202,,,
214,Llandinam Clas,,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Wales,seeAlso,>=700,,52.484,-3.434,,,
215,Llangorse Clas,,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Wales,seeAlso,>=625,,51.93457449,-3.2708572,,,
216,Llanguric Clas,,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Wales,seeAlso,>=525,,52.4044,-3.60513,,,
217,Llanrhaiadr ym mochnant Clas,,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Wales,seeAlso,>=600,,52.83,-3.3,,,
218,Meigod Clas,,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Wales,seeAlso,>=600,,52.71,-3.25,,,
219,St Harmon Clas,,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Wales,seeAlso,>=600,,52.344,-3.4861,,,
220,Nevern Monastery,,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Wales,seeAlso,>=500,,52.02,-4.8,,,
221,Clova Monastery,,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Scotland,seeAlso,>=600,,57.278549,-2.904165,,,
222,Deer Abbey,,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Scotland,seeAlso,>=600,,57.523333,-2.054028,,,
223,Mortlach Monastery,,,https://en.wikipedia.org/wiki/Mortlach_Parish_Church,seeAlso,>=566,,57.438889,-3.128056,,,
224,"Artchain Monastery, Tiree",,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Scotland,seeAlso,>=600,,56.523835,-6.8483679,,,
